Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM
1,0.9794296253522237,0.010158548375798597,0.4996756205658118,0.4696935424771574,24.762827731264405,0.7739598188400268
2,0.9987188713285658,0.004512720941669411,0.32837501965406246,0.3269118466290335,27.9793874979571,0.8372494451105594
3,1.0033236708641051,0.004018421215108699,0.3868690150048998,0.38904593404134113,26.224965272527033,0.8370362986326217
4,1.0009791441493565,0.0028797177486121653,0.5653109362390306,0.5652922093073527,31.020227958257106,0.880000723361969
5,1.002713863743676,0.0029455460490037996,0.6787837363878886,0.6822809998194377,29.957156191944478,0.8869245200157165
6,1.0044321884579128,0.0024089841629481978,0.7253434635268318,0.7287198331620958,27.955138087240844,0.8913733022212982
7,1.0039679927825929,0.002163776271045208,0.7219327438672384,0.7258269143104553,25.04587329358635,0.8763622241914273
8,1.001176082558102,0.002390840076530973,0.4496517033047146,0.4461560401121775,30.473963795025867,0.9002609232068062
9,1.0003244038687813,0.0020517829874944354,0.36489346064461603,0.36687389845318263,29.376120039177668,0.9081155564188957
10,1.0023183885150486,0.0018308391918738683,0.5153471639421251,0.517020222293006,30.36245394487492,0.9012197479009628
11,1.0022326696713766,0.002008924611740642,0.2965782030623199,0.2954874457122965,31.281522710087298,0.9063261737227439
12,1.0000195306142172,0.0022742308283017743,0.0023858136990004115,0.0023679913126139177,30.768099413333758,0.9146036665439605
13,0.9999630068673028,0.002294459404837754,0.0035888766566705373,0.0035426204815093014,32.38902254333128,0.9123121840357781
14,1.0000511852900187,0.002181213980126712,0.004804929465262426,0.004716943938699034,31.35736596128543,0.9141095866560935
15,1.0001658879386055,0.002139070957692133,0.002142081520054489,0.0021511826376534172,29.036429070594423,0.9128860672712326
16,1.000079798804389,0.002266305243803395,0.000692048447051396,0.0007097863707911326,32.380373081548186,0.913130059838295
17,0.9987584311167399,0.0691728420191341,0.005081328040228174,0.005711714622280043,10.724646981097232,0.3474973541125655
18,0.40757128920820024,0.0914606646630499,0.7592903883722093,0.1572453165657252,10.727179490829432,0.3246322288950905
19,0.08945946790443526,0.09041407191091114,0.9151896697150337,0.002908960062306802,10.797502953503491,0.3437951615229249
20,0.12071667872369289,0.07319653577440315,0.9319249946806166,0.0465606231421694,18.452034408029366,0.5427393548935652
21,0.6245625329282549,0.009545083304246266,0.5234975431355603,0.13613809581664818,12.610820463882614,0.6728630894869566
22,0.5361217864751816,0.0055639049025873345,0.6638163971122768,0.18077114141395562,25.600344324233912,0.7728063568472863
23,0.46247487726476455,0.004415882739962803,0.6764770724751246,0.1247608224535618,22.977618464739855,0.7994861665070057
24,0.5831740423440933,0.004108513140016132,0.6602708164453507,0.22877350053765905,27.803290929721697,0.7993324727118015
25,0.8711947571436565,0.00357178287828962,0.25958049384752907,0.1269629575676388,27.8308422167779,0.8310241659581661
26,0.9586600117153592,0.0030941319736755555,0.1790374846988254,0.13605674643648996,28.736150977086776,0.8251161066889763
27,0.93785690524843,0.0029977275960975224,0.16750643621550665,0.10441181185841561,28.040424641331345,0.8410690742135047
28,0.9606698393291897,0.0027339277010824947,0.15507071333461336,0.1145916082461675,28.682449963078742,0.8582900099754334
29,0.9635727347267998,0.0026675150512407222,0.14088485077354643,0.10307584799660577,30.630373943515185,0.8696842638850212
30,0.9674528733359443,0.0024360215322424966,0.16385952071348825,0.130907514890035,31.51285587612792,0.8756581326127052
31,0.9757228173149957,0.002386186538471116,0.19407639461755752,0.16809810398022335,26.38589211229233,0.8041268682181835
32,0.9741000228457981,0.0023385130889299844,0.2278910004960166,0.20230097830295563,30.5577016291571,0.8840269649624825
33,0.9863544509675768,0.002050197328544325,0.2576962953673469,0.24333240315649243,31.883527323735382,0.8814048082828522
34,0.9886143942938911,0.0020023603170282313,0.23222879881329006,0.21995753153165182,31.833222987606604,0.8909280644059181
35,0.9908193361494276,0.0019440806051716209,0.28141748542255823,0.2721694504155053,32.54069060274994,0.8959641801714897
36,0.9764028036329482,0.002008626935796605,0.20903098168638018,0.18436051624351077,32.4308533501302,0.9005830703377724
37,1.0026428434583876,0.0021710070228825014,0.15133755058712428,0.1533043467203776,31.272427723018005,0.895039844751358
38,1.00240593846639,0.002122568067059749,0.12156829052501254,0.12378293763266669,32.27227162132636,0.9011988748311996
39,1.00264874680837,0.0019275062785794337,0.12137813213136461,0.12367745084232754,32.91031036486555,0.904816267311573
40,1.0028665068944296,0.0019978607878502874,0.13194816819826763,0.13459266543388368,32.434674352644215,0.9071814159750938
41,1.004580096774631,0.0018670912745098274,0.14417036402225494,0.1475092062022951,32.91756691053535,0.9061041297912598
42,1.0008366432189941,0.0018569690280904373,0.12630145714680355,0.12680456113153032,33.18539337594824,0.9036080399155617
43,1.000580830891927,0.0018421529047191144,0.12712521478864883,0.1272463483280606,33.02776381068118,0.9111734699606896
44,1.0017570533752442,0.0018465495424138175,0.12295585820409986,0.12457553479406569,31.520766456176162,0.9074740208387375
45,1.0016260895199245,0.0018898776848283079,0.12185565663046308,0.12295767132441203,32.917066997606504,0.9122920682430268
46,1.0011840277777777,0.0018612431430568297,0.10389708851443397,0.10462516265445285,29.707436790071306,0.9103812968730927
47,1.001369063483344,0.0018426406617379851,0.14183903765678404,0.14386878259976704,33.24835212571922,0.9117248429656029
48,1.001612462785509,0.0017036174301885895,0.2506494150691562,0.2529270953602261,33.30895095857678,0.9107865479588508
49,1.0026722347471448,0.001399880736031466,0.5342625335587395,0.5374509131643507,33.220603737410826,0.9128257191181183
50,1.002216929965549,0.0013345394179018007,0.5987268918885125,0.5983230090141296,32.70844158632302,0.9131420578360557
